,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
766,50,0,1464,1,2,4,5,1,1061,2,1,62,3,5,4,3,1,19237,12853,2,0,0,11,3,4,80,1,29,2,2,8,1,7,7
683,25,0,867,2,19,2,4,1,952,3,1,36,2,1,6,2,1,2413,18798,1,0,0,18,3,3,80,3,1,2,3,1,0,0,0
235,43,0,1034,2,16,3,4,1,327,4,0,80,3,4,8,4,1,16064,7744,5,0,0,22,4,3,80,1,22,3,3,17,13,1,9
919,59,0,1429,1,18,4,5,1,1283,4,1,67,3,3,1,4,0,10512,20002,6,0,1,12,3,4,80,0,25,6,2,9,7,5,4
1343,29,0,592,1,7,3,1,1,1883,4,1,59,3,1,2,1,0,2062,19384,3,0,1,14,3,2,80,0,11,2,3,3,2,1,2
511,36,0,913,1,9,2,5,1,699,2,1,48,2,2,1,2,2,8847,13934,2,0,0,11,3,3,80,1,13,2,3,3,2,0,2
47,37,0,408,1,19,2,1,1,61,2,1,73,3,1,7,2,1,3022,10227,4,0,1,21,4,1,80,0,8,1,3,1,0,0,0
808,29,0,1107,1,28,4,1,1,1120,3,0,93,3,1,7,4,2,2514,26968,4,0,1,22,4,1,80,1,11,1,3,7,5,1,7
233,50,0,854,2,1,4,5,1,323,4,0,68,3,5,8,4,2,19517,24118,3,0,1,11,3,3,80,1,32,3,2,7,0,0,6
478,25,0,622,2,13,1,5,1,645,2,1,40,3,1,6,3,1,2096,26376,1,0,1,11,3,3,80,0,7,1,3,7,4,0,6
1136,28,0,329,1,24,3,5,1,1604,3,1,51,3,1,2,2,1,2408,7324,1,0,0,17,3,3,80,3,1,3,3,1,1,0,0
129,49,0,470,1,20,4,5,1,170,3,0,96,3,2,1,1,1,6567,5549,1,0,1,14,3,3,80,0,16,2,2,15,11,5,11
216,30,1,334,2,26,4,4,1,299,3,0,52,2,2,3,1,0,6696,22967,5,0,1,15,3,3,80,0,9,5,2,6,3,0,1
68,35,1,664,1,1,3,5,1,88,2,1,79,3,1,7,1,1,2194,5868,4,0,1,13,3,4,80,1,5,2,2,3,2,1,2
524,34,0,1442,1,9,3,5,1,717,4,0,46,2,3,0,2,0,8621,17654,1,0,1,14,3,2,80,0,9,3,4,8,7,7,7
1203,53,0,1395,1,24,4,5,1,1689,2,1,48,4,3,0,4,1,7005,3458,3,0,1,15,3,3,80,0,11,2,3,4,3,1,2
112,54,2,142,0,26,3,0,1,148,4,0,30,4,4,8,4,0,17328,13871,2,0,0,12,3,3,80,0,23,3,3,5,3,4,4
1361,26,1,1096,1,6,3,3,1,1918,3,1,61,4,1,2,4,1,2544,7102,0,0,1,18,3,1,80,1,8,3,3,7,7,7,7
1010,55,0,1136,1,1,4,5,1,1424,2,1,81,4,4,4,4,2,14732,12414,2,0,1,13,3,4,80,2,31,4,4,7,7,0,0
1022,37,2,1413,1,5,2,2,1,1440,3,1,84,4,1,2,3,0,3500,25470,0,0,1,14,3,1,80,0,7,2,1,6,5,1,3
415,34,1,296,2,6,2,4,1,555,4,0,33,1,1,6,3,2,2351,12253,0,0,1,16,3,4,80,1,3,3,2,2,2,1,0
829,33,0,603,2,9,4,4,1,1157,1,0,77,3,2,3,1,0,8224,18385,0,0,0,17,3,1,80,0,6,3,3,5,2,0,3
990,33,1,1111,2,5,1,1,1,1395,2,1,61,3,2,3,4,1,9998,19293,6,0,1,13,3,1,80,0,8,2,4,5,4,1,2
994,52,1,322,1,28,2,5,1,1401,4,0,59,4,4,1,3,1,13247,9731,2,0,0,11,3,2,80,1,24,3,2,5,3,0,2
1098,40,2,1142,1,8,2,1,1,1552,4,1,72,3,2,0,4,2,4069,8841,3,0,0,18,3,3,80,0,8,2,3,2,2,2,2
271,47,2,666,1,29,4,1,1,376,1,1,88,3,3,8,2,1,11849,10268,1,0,0,12,3,4,80,1,10,2,2,10,7,9,9
1296,30,0,1092,1,10,3,5,1,1816,1,0,64,3,3,1,3,0,9667,2739,9,0,1,14,3,2,80,0,9,3,3,7,7,0,2
1123,35,0,670,1,10,4,5,1,1587,1,0,51,3,2,0,3,0,6142,4223,3,0,0,16,3,3,80,0,10,4,3,5,2,0,4
105,59,2,1420,0,2,4,0,1,140,3,0,32,2,5,8,4,1,18844,21922,9,0,1,21,4,4,80,1,30,3,3,3,2,2,2
1050,42,1,748,1,9,2,5,1,1480,1,0,74,3,1,2,4,0,3673,16458,1,0,1,13,3,3,80,0,12,3,3,12,9,5,8
476,24,0,823,1,17,2,3,1,643,4,1,94,2,1,2,2,1,2127,9100,1,0,1,21,4,4,80,1,1,2,3,1,0,0,0
1230,24,0,506,1,29,1,5,1,1725,2,1,91,3,1,2,1,2,3907,3622,1,0,1,13,3,2,80,3,6,2,4,6,2,1,2
436,33,0,587,1,10,1,5,1,584,1,1,38,1,1,2,4,2,3408,6705,7,0,1,13,3,1,80,3,8,2,3,4,3,1,3
1258,29,0,590,1,4,3,2,1,1762,4,0,91,2,1,7,1,2,2109,10007,1,0,1,13,3,3,80,1,1,2,3,1,0,0,0
1052,30,2,990,1,7,3,2,1,1482,3,1,64,3,1,7,3,2,1274,7152,1,0,1,13,3,2,80,2,1,2,2,1,0,0,0
280,53,0,1070,1,3,4,5,1,386,3,1,45,3,4,4,3,1,17584,21016,3,0,0,16,3,4,80,3,21,5,2,5,3,1,3
438,35,0,1276,1,16,3,1,1,586,4,1,72,3,3,0,3,1,7632,14295,4,0,0,12,3,3,80,0,10,2,3,8,7,0,0
87,51,0,432,1,9,4,1,1,116,4,1,96,3,1,2,4,1,2075,18725,3,0,1,23,4,2,80,2,10,4,3,4,2,0,3
696,45,2,805,1,4,2,1,1,972,3,1,57,3,2,2,2,1,4447,23163,1,0,1,12,3,2,80,0,9,5,2,9,7,0,8
1079,39,0,1089,1,6,3,1,1,1525,2,0,32,3,3,1,2,0,8376,9150,4,0,1,18,3,4,80,0,9,3,3,2,0,2,2
820,35,1,1182,2,11,2,4,1,1137,4,1,54,3,2,3,4,2,4968,18500,1,0,1,11,3,4,80,1,5,3,3,5,2,0,2
577,37,0,571,1,10,1,1,1,802,4,0,82,3,1,7,1,2,2782,19905,0,0,0,13,3,2,80,2,6,3,2,5,3,4,3
456,31,0,688,2,7,3,1,1,613,3,1,44,2,3,8,4,2,11557,25291,9,0,1,21,4,3,80,1,10,3,2,5,4,0,1
656,32,0,374,1,25,4,1,1,911,1,1,87,3,1,2,4,0,2795,18016,1,0,0,24,4,3,80,0,1,2,1,1,0,0,1
1446,34,0,704,2,28,3,4,1,2035,4,0,95,2,2,3,3,1,6712,8978,1,0,1,21,4,4,80,2,8,2,3,8,7,1,7
912,26,0,583,1,4,2,1,1,1275,3,1,53,3,1,7,4,0,2875,9973,1,0,0,20,4,2,80,0,8,2,2,8,5,2,2
1344,37,0,783,1,7,4,5,1,1885,4,1,78,3,2,7,1,1,4284,13588,5,0,0,22,4,3,80,1,16,2,3,5,3,0,4
971,51,0,1405,1,11,2,2,1,1367,4,0,82,2,4,1,2,0,13142,24439,3,0,1,16,3,2,80,0,29,1,2,5,2,0,3
864,41,2,906,1,5,2,1,1,1210,1,1,95,2,1,7,1,2,2107,20293,6,0,1,17,3,1,80,1,5,2,1,1,0,0,0
284,26,1,496,1,11,2,5,1,390,1,1,60,3,2,0,1,1,4741,22722,1,0,0,13,3,3,80,1,5,3,3,5,3,3,3
1187,38,1,1189,1,1,3,1,1,1668,4,1,90,3,2,7,4,1,4735,9867,7,0,1,15,3,4,80,2,19,4,4,13,11,2,9
244,45,0,252,1,1,3,3,1,336,3,1,70,4,5,8,4,1,19202,15970,0,0,1,11,3,3,80,1,25,2,3,24,0,1,7
1272,38,0,1153,1,6,2,3,1,1782,4,0,40,2,1,2,3,1,3702,16376,1,0,1,11,3,2,80,1,5,3,3,5,4,0,4
654,39,0,1383,0,2,3,1,1,909,4,0,42,2,2,5,4,1,5204,7790,8,0,1,11,3,3,80,2,13,2,3,5,4,0,4
503,34,0,1397,1,1,5,1,1,683,2,1,42,3,1,7,4,1,2691,7660,1,0,1,12,3,4,80,1,10,4,2,10,9,8,8
212,27,1,1242,2,20,3,1,1,293,4,0,90,3,2,3,3,0,9981,12916,1,0,1,14,3,4,80,0,7,2,3,7,7,0,7
1099,45,0,538,1,1,4,2,1,1553,1,1,66,3,3,0,2,2,7441,20933,1,0,1,12,3,1,80,3,10,4,3,10,8,7,7
139,30,0,1240,0,9,3,0,1,184,3,1,48,3,2,5,4,1,6347,13982,0,0,0,19,3,4,80,0,12,2,1,11,9,4,7
0,41,0,1102,2,1,2,1,1,1,2,0,94,3,2,3,4,0,5993,19479,8,0,0,11,3,1,80,0,8,0,1,6,4,0,5
1067,47,0,571,2,14,3,5,1,1503,3,0,78,3,2,3,3,1,4591,24200,3,0,0,17,3,3,80,1,11,4,2,5,4,1,2
1188,29,0,991,2,5,3,5,1,1669,1,1,43,2,2,3,2,2,4187,3356,1,0,0,13,3,2,80,1,10,3,2,10,0,0,9
1228,41,2,552,0,4,3,0,1,1722,3,1,60,1,2,5,2,1,6430,20794,6,0,1,19,3,2,80,1,10,4,3,3,2,1,2
879,60,0,696,2,7,4,4,1,1233,2,1,52,4,2,3,4,2,5220,10893,0,0,0,18,3,2,80,1,12,3,3,11,7,1,9
544,47,1,217,2,3,3,5,1,746,4,0,49,3,4,3,3,2,13770,10225,9,0,0,12,3,4,80,2,28,2,2,22,2,11,13
59,37,0,1115,1,1,4,1,1,77,1,1,51,2,2,1,3,2,5993,2689,1,0,1,18,3,3,80,1,7,2,4,7,5,0,7
125,26,0,841,1,6,3,3,1,164,3,0,46,2,1,7,2,1,2368,23300,1,0,1,19,3,3,80,0,5,3,2,5,4,4,3
684,40,0,658,2,10,4,4,1,954,1,1,67,2,3,3,2,2,9705,20652,2,0,1,12,3,2,80,1,11,2,2,1,0,0,0
433,46,0,1125,2,10,3,4,1,580,3,0,94,2,3,3,4,1,9071,11563,2,0,0,19,3,3,80,1,15,3,3,3,2,1,2
1216,43,0,1179,2,2,3,5,1,1706,4,1,73,3,2,3,4,1,7847,6069,1,0,0,17,3,1,80,1,10,3,3,10,9,8,8
383,22,0,253,1,11,3,5,1,511,1,0,43,3,1,7,2,1,2244,24440,1,0,1,13,3,4,80,1,2,1,3,2,1,1,2
703,38,2,152,2,10,3,2,1,983,3,0,85,3,2,3,4,0,5666,19899,1,0,0,13,3,2,80,0,6,1,3,5,3,1,3
150,40,1,1395,1,26,3,5,1,202,2,0,54,3,2,7,2,2,5605,8504,1,0,1,11,3,1,80,1,20,2,3,20,7,2,13
1438,23,1,638,2,9,3,4,1,2023,4,1,33,3,1,6,1,1,1790,26956,1,0,1,19,3,1,80,1,1,3,2,1,0,1,0
840,35,0,982,1,1,4,5,1,1172,4,1,58,2,1,2,3,1,2258,16340,6,0,1,12,3,2,80,1,10,2,3,8,0,1,7
841,24,0,477,1,24,3,5,1,1173,4,1,49,3,1,2,2,0,3597,6409,8,0,1,22,4,4,80,0,6,2,3,4,3,1,2
634,25,0,141,2,3,1,3,1,879,3,1,98,3,2,3,1,1,4194,14363,1,0,0,18,3,4,80,0,5,3,3,5,3,0,3
170,27,0,1157,1,17,3,2,1,233,3,1,51,3,1,7,2,1,3058,13364,0,0,0,16,3,4,80,1,6,3,2,5,2,1,1
3,33,1,1392,1,3,4,1,1,5,4,0,56,3,1,7,3,1,2909,23159,1,0,0,11,3,3,80,0,8,3,3,8,7,3,0
358,36,2,845,2,1,5,5,1,479,4,0,45,3,2,3,4,0,6653,15276,4,0,1,15,3,2,80,0,7,6,3,1,0,0,0
188,34,1,1069,1,2,1,1,1,256,4,1,45,2,2,1,3,1,9547,14074,1,0,1,17,3,3,80,0,10,2,2,10,9,1,9
1167,35,0,763,2,15,2,5,1,1645,1,1,59,1,2,3,4,2,5440,22098,6,0,0,14,3,4,80,2,7,2,2,2,2,2,2
834,34,0,1400,2,9,1,1,1,1163,2,0,70,3,2,3,3,1,5714,5829,1,0,1,20,4,1,80,0,6,3,2,6,5,1,3
84,34,0,1153,1,1,2,5,1,110,1,1,94,3,2,1,2,1,4325,17736,1,0,1,15,3,3,80,0,5,2,3,5,2,1,3
521,27,1,1410,2,3,1,5,1,714,4,0,71,4,2,3,4,2,4647,16673,1,0,0,20,4,2,80,2,6,3,3,6,5,0,4
33,39,0,895,2,5,3,2,1,42,4,1,56,3,2,6,4,1,2086,3335,3,0,1,14,3,3,80,1,19,6,4,1,0,0,0
774,55,2,444,1,2,1,5,1,1074,3,1,40,2,4,8,1,0,16756,17323,7,0,1,15,3,2,80,0,31,3,4,9,7,6,2
1074,33,0,516,1,8,5,1,1,1515,4,1,69,3,2,0,3,0,6388,22049,2,0,0,17,3,1,80,0,14,6,3,0,0,0,0
573,26,0,1146,2,8,3,2,1,796,4,1,38,2,2,3,1,0,5326,3064,6,0,1,17,3,3,80,0,6,2,2,4,3,1,2
1094,40,0,1342,2,9,2,5,1,1548,1,1,47,3,2,3,1,1,5473,19345,0,0,1,12,3,4,80,0,9,5,4,8,4,7,1
866,40,1,1184,2,2,4,5,1,1212,2,1,62,3,2,3,2,1,4327,25440,5,0,1,12,3,4,80,3,5,2,3,0,0,0,0
475,26,0,703,2,28,2,4,1,641,1,1,66,3,2,3,2,1,6272,7428,1,0,1,20,4,4,80,2,6,5,4,5,3,1,4
1057,29,1,115,2,13,3,2,1,1487,1,0,51,3,2,3,2,0,5765,17485,5,0,1,11,3,1,80,0,7,4,1,5,3,0,0
316,49,0,1091,1,1,2,2,1,431,3,0,90,2,4,0,3,0,13964,17810,7,0,0,12,3,4,80,0,25,2,3,7,1,0,7
322,32,0,1018,1,2,4,5,1,439,1,0,74,4,2,7,4,0,5055,10557,7,0,1,16,3,3,80,0,10,0,2,7,7,0,7
960,41,1,1018,2,1,3,4,1,1349,3,0,66,3,2,3,1,2,4103,4297,0,0,1,17,3,4,80,1,10,2,3,9,3,1,7
265,29,0,1210,2,2,3,5,1,366,1,1,78,2,2,3,2,1,6644,3687,2,0,1,19,3,2,80,2,10,2,3,0,0,0,0
338,30,0,570,2,5,3,4,1,456,4,0,30,2,2,3,3,2,6118,5431,1,0,1,13,3,3,80,3,10,2,3,10,9,1,2
49,35,0,1229,1,8,1,1,1,63,4,1,36,4,1,2,4,1,2269,4892,1,0,1,19,3,4,80,0,1,2,3,1,0,0,1
614,26,1,887,1,5,2,5,1,848,3,0,88,2,1,7,3,1,2366,20898,1,0,0,14,3,1,80,1,8,2,3,8,7,1,7
232,59,0,818,0,6,2,5,1,321,2,1,52,3,1,5,3,1,2267,25657,8,0,1,17,3,4,80,0,7,2,2,2,2,2,2
96,24,0,1353,2,3,2,3,1,128,1,0,33,3,2,3,3,1,4999,17519,0,0,1,21,4,1,80,1,4,2,2,3,2,0,2
1081,35,0,1029,1,16,3,1,1,1529,4,0,91,2,3,0,2,0,8606,21195,1,0,1,19,3,4,80,0,11,3,1,11,8,3,3
1333,46,0,1254,2,10,3,1,1,1869,3,0,64,3,3,3,2,1,7314,14011,5,0,1,21,4,3,80,3,14,2,3,8,7,0,7
1328,27,0,728,2,23,1,5,1,1864,2,0,36,2,2,6,3,1,3540,7018,1,0,1,21,4,4,80,1,9,5,3,9,8,5,8
435,33,0,1277,1,15,1,5,1,582,2,1,56,3,3,8,3,1,13610,24619,7,0,0,12,3,4,80,0,15,2,4,7,6,7,7
1172,29,0,469,2,10,3,5,1,1650,3,1,42,2,2,3,3,0,5869,23413,9,0,1,11,3,3,80,0,8,2,3,5,2,1,4
156,51,0,1169,1,7,4,5,1,211,2,1,34,2,2,1,3,1,6132,13983,2,0,1,17,3,3,80,0,10,2,3,1,0,0,0
200,27,1,472,1,1,1,2,1,274,3,1,60,2,2,1,1,1,4298,9679,5,0,1,19,3,3,80,1,6,1,3,2,2,2,0
155,29,2,1496,1,1,1,2,1,208,4,1,41,3,2,1,3,1,4319,26283,1,0,1,13,3,1,80,1,10,1,3,10,7,0,9
410,30,0,317,1,2,3,1,1,548,3,0,43,1,2,1,4,0,6091,24793,2,0,1,20,4,3,80,0,11,2,3,5,4,0,2
755,45,0,1234,2,11,2,1,1,1045,4,0,90,3,4,8,4,1,17650,5404,3,0,1,13,3,2,80,1,26,4,4,9,3,1,1
325,31,1,798,1,7,2,1,1,442,3,0,48,2,3,1,3,1,8943,14034,1,0,1,24,4,1,80,1,10,2,3,10,9,8,9
986,39,0,1498,2,21,4,1,1,1390,1,1,44,2,2,3,4,1,6120,3567,3,0,0,12,3,4,80,2,8,2,4,5,4,1,4
421,29,0,408,1,25,5,2,1,565,3,0,71,2,1,7,2,1,2546,18300,5,0,1,16,3,2,80,0,6,2,4,2,2,1,1
1082,23,0,507,1,20,1,1,1,1533,1,1,97,3,2,2,3,0,2272,24812,0,0,1,14,3,2,80,0,5,2,3,4,3,1,2
1014,31,0,182,1,8,5,1,1,1430,1,0,93,3,4,4,2,0,16422,8847,3,0,1,11,3,3,80,0,9,3,4,3,2,1,0
623,30,1,1012,1,5,4,1,1,861,2,1,75,2,1,7,4,2,3761,2373,9,0,1,12,3,2,80,1,10,3,2,5,4,0,3
1089,37,0,674,1,13,3,5,1,1543,1,1,47,3,2,7,4,1,4285,3031,1,0,1,17,3,1,80,0,10,2,3,10,8,3,7
1177,50,0,813,1,17,5,1,1,1656,4,0,50,2,3,4,1,2,13269,21981,5,0,1,15,3,3,80,3,19,3,3,14,11,1,11
226,37,1,319,2,4,4,4,1,311,1,1,41,3,1,6,4,2,2793,2539,4,0,1,17,3,3,80,1,13,2,3,9,8,5,8
281,42,0,635,2,1,1,1,1,387,2,1,99,3,2,3,3,1,4907,24532,1,0,1,25,4,3,80,0,20,3,3,20,16,11,6
711,29,0,906,1,10,3,1,1,994,4,0,92,2,1,7,1,0,2404,11479,6,0,0,20,4,3,80,0,3,5,3,0,0,0,0
168,38,0,702,2,1,4,1,1,230,1,0,59,2,2,3,4,0,8686,12930,4,0,1,22,4,3,80,0,12,2,4,8,3,0,7
1119,38,0,1245,2,14,3,1,1,1582,3,1,80,3,2,3,2,1,9924,12355,0,0,1,11,3,4,80,1,10,3,3,9,8,7,7
835,35,0,528,0,8,4,2,1,1164,3,1,100,3,1,5,3,0,4323,7108,1,0,1,17,3,2,80,0,6,2,1,5,4,1,4
1007,29,1,337,1,14,1,3,1,1421,3,0,84,3,3,0,4,0,7553,22930,0,0,0,12,3,1,80,0,9,1,3,8,7,7,7
1101,32,0,824,1,5,2,1,1,1555,4,0,67,2,2,7,2,1,5878,15624,3,0,1,12,3,1,80,1,12,2,3,7,1,2,5
163,57,0,334,1,24,2,1,1,223,3,1,83,4,3,0,4,2,9439,23402,3,0,0,16,3,2,80,1,12,2,1,5,3,1,4
1157,35,2,208,1,8,4,1,1,1630,3,0,52,3,2,0,3,1,4148,12250,1,0,1,12,3,4,80,1,15,5,3,14,11,2,9
661,43,0,177,1,8,3,1,1,920,1,0,55,3,2,1,2,2,4765,23814,4,0,1,21,4,3,80,1,4,2,4,1,0,0,0
813,39,1,203,1,2,3,1,1,1127,1,1,84,3,4,0,4,2,12169,13547,7,0,1,11,3,4,80,3,21,4,3,18,7,11,5
388,42,0,201,1,1,4,1,1,517,2,0,95,3,1,2,1,2,2576,20490,3,0,1,16,3,2,80,1,8,5,3,5,2,1,2
636,35,1,130,1,25,4,1,1,881,4,0,96,3,1,7,2,2,2022,16612,1,0,0,19,3,1,80,1,10,3,2,10,2,7,8
1226,32,1,585,1,10,3,1,1,1720,1,1,56,3,1,7,3,1,3433,17360,6,0,1,13,3,1,80,1,10,3,2,5,2,1,3
304,39,0,1132,1,1,3,5,1,417,3,1,48,4,3,0,4,2,9613,10942,0,0,1,17,3,1,80,3,19,5,2,18,10,3,7
705,39,0,903,2,2,5,1,1,985,1,1,41,4,3,3,3,0,7880,2560,0,0,1,18,3,4,80,0,9,3,3,8,7,0,7
764,28,0,1144,2,10,1,5,1,1056,4,1,74,3,1,6,2,1,1052,23384,1,0,1,22,4,2,80,0,1,5,3,1,0,0,0
411,60,0,422,1,7,3,1,1,549,1,0,41,3,5,8,1,1,19566,3854,5,0,1,11,3,4,80,0,33,5,1,29,8,11,10
276,35,0,1315,1,22,3,1,1,381,2,0,71,4,3,8,2,2,11996,19100,7,0,1,18,3,2,80,1,10,6,2,7,7,6,2
27,42,0,691,2,8,4,4,1,35,3,1,48,3,2,3,2,1,6825,21173,0,0,1,11,3,4,80,1,10,2,3,9,7,4,2
507,29,0,1176,2,3,2,5,1,690,2,0,62,3,2,3,3,1,5561,3487,1,0,1,14,3,1,80,1,6,5,2,6,0,1,2
1467,27,0,155,1,4,3,1,1,2064,2,1,87,4,2,1,2,1,6142,5174,1,0,0,20,4,2,80,1,6,0,3,6,2,0,3
327,39,0,1162,2,3,2,5,1,445,4,0,41,3,2,3,3,1,5238,17778,4,0,0,18,3,1,80,0,12,3,2,1,0,0,0
44,30,1,721,1,1,2,5,1,57,3,0,58,3,2,2,4,0,4011,10781,1,0,1,23,4,4,80,0,12,2,3,12,8,3,7
673,33,0,1198,1,1,4,3,1,939,3,1,100,2,1,7,1,0,2799,3339,3,0,0,11,3,2,80,0,6,1,3,3,2,0,2
955,55,0,282,1,2,2,5,1,1336,4,0,58,1,5,8,3,1,19187,6992,4,0,1,14,3,4,80,1,23,5,3,19,9,9,11
1027,34,0,401,1,1,3,1,1,1447,4,0,86,2,1,2,2,1,3294,3708,5,0,1,17,3,1,80,1,7,2,2,5,4,0,2
346,41,0,483,1,6,3,5,1,466,4,1,95,2,2,1,2,0,6032,10110,6,0,0,15,3,4,80,0,8,3,3,5,4,1,2
800,28,1,1009,1,1,3,5,1,1111,1,1,45,2,1,2,2,2,2596,7160,1,0,1,15,3,1,80,2,1,2,3,1,0,0,0
133,41,0,802,2,9,1,1,1,176,3,1,96,3,3,3,3,2,8189,21196,3,0,0,13,3,3,80,1,12,2,3,9,7,0,7
153,45,0,194,1,9,3,1,1,206,2,1,60,3,2,2,2,2,2348,10901,8,0,1,18,3,3,80,1,20,2,1,17,9,0,15
1168,24,1,567,1,2,1,2,1,1646,1,0,32,3,1,7,4,0,3760,17218,1,0,0,13,3,3,80,0,6,2,3,6,3,1,3
470,24,1,535,2,24,3,5,1,632,4,1,38,3,1,6,4,1,2400,5530,0,0,1,13,3,3,80,2,3,3,3,2,2,2,1
806,52,0,994,1,7,4,1,1,1118,2,1,87,3,3,0,2,0,10445,15322,7,0,1,19,3,4,80,0,18,4,3,8,6,4,0
968,36,1,607,2,7,3,4,1,1362,1,0,83,4,2,3,1,1,4639,2261,2,0,1,16,3,4,80,1,17,2,2,15,7,6,13
1118,26,0,474,1,3,3,1,1,1581,1,0,89,3,1,7,4,1,2061,11133,1,0,1,21,4,1,80,0,1,5,3,1,0,0,0
427,60,1,1499,2,28,3,4,1,573,3,0,80,2,3,3,1,1,10266,2845,4,0,1,19,3,4,80,0,22,5,4,18,13,13,11
619,33,0,586,2,1,3,5,1,855,1,1,48,4,2,3,1,2,4037,21816,1,0,1,22,4,1,80,1,9,5,3,9,8,0,8
902,27,0,1167,1,4,2,1,1,1259,1,1,76,3,1,7,3,2,2517,3208,1,0,1,11,3,2,80,3,5,2,3,5,3,0,3
1161,38,0,397,1,2,2,5,1,1638,4,0,54,2,3,1,3,1,7756,14199,3,0,0,19,3,4,80,1,10,6,4,5,4,0,2
1062,44,1,1193,1,2,1,5,1,1496,2,1,86,3,3,1,3,0,10209,19719,5,0,0,18,3,2,80,0,16,2,2,2,2,2,2
809,28,0,950,1,3,3,5,1,1121,4,0,93,3,3,1,2,2,7655,8039,0,0,1,17,3,2,80,3,10,3,2,9,7,1,7
64,36,0,1223,1,8,3,2,1,83,3,0,59,3,3,0,3,2,10096,8202,1,0,1,13,3,2,80,3,17,2,3,17,14,12,8
1298,46,0,261,1,21,2,5,1,1821,4,0,66,3,2,0,2,1,8926,10842,4,0,1,22,4,4,80,1,13,2,4,9,7,3,7
639,49,0,1418,1,1,3,2,1,887,3,0,36,3,1,7,1,1,3580,10554,2,0,1,16,3,2,80,1,7,2,3,4,2,0,2
1464,26,0,1167,2,5,3,3,1,2060,4,0,30,2,1,6,3,0,2966,21378,0,0,1,18,3,4,80,0,5,2,3,4,2,0,0
522,37,0,1225,1,10,2,1,1,715,4,1,80,4,1,7,4,0,4680,15232,3,0,1,17,3,1,80,0,4,2,3,1,0,0,0
1384,34,0,937,2,1,3,4,1,1950,1,1,32,3,3,3,4,0,9888,6770,1,0,1,21,4,1,80,0,14,3,2,14,8,2,1
1008,54,0,971,1,1,3,5,1,1422,4,0,54,3,4,4,4,0,17328,5652,6,0,1,19,3,4,80,0,29,3,2,20,7,12,7
1044,49,0,1495,1,5,4,2,1,1473,1,1,96,3,2,0,3,1,6651,21534,2,0,1,14,3,2,80,1,20,0,2,3,2,1,2
1084,34,0,971,2,1,3,2,1,1535,4,1,64,2,3,3,3,1,7083,12288,1,0,0,14,3,4,80,0,10,3,3,10,9,8,6
194,45,2,1195,1,2,2,5,1,264,1,1,65,2,4,8,4,1,16792,20462,9,0,1,23,4,4,80,1,22,1,3,20,8,11,8
55,33,1,515,1,1,2,1,1,73,1,0,98,3,3,4,4,0,13458,15146,1,0,0,12,3,3,80,0,15,1,3,15,14,8,12
719,47,0,955,2,4,2,1,1,1003,4,0,83,3,2,3,4,0,4163,8571,1,0,0,17,3,3,80,0,9,0,3,9,0,0,7
46,34,2,1065,2,23,4,4,1,60,2,1,72,3,2,3,3,0,4568,10034,0,0,1,20,4,3,80,0,10,2,3,9,5,8,7
1146,34,1,426,1,10,4,1,1,1615,3,1,42,4,2,1,4,2,4724,17000,1,0,1,13,3,1,80,1,9,3,3,9,7,7,2
773,36,0,796,1,12,5,5,1,1073,4,0,51,2,3,1,4,0,8858,15669,0,0,1,11,3,2,80,0,15,2,2,14,8,7,8
798,33,0,1017,1,25,3,5,1,1108,1,1,55,2,1,7,2,0,2313,2993,4,0,0,20,4,2,80,0,5,0,3,2,2,2,2
1005,29,0,332,0,17,3,3,1,1419,2,1,51,2,3,5,1,0,7988,9769,1,0,1,13,3,1,80,0,10,3,2,10,9,0,9
1378,42,0,419,2,12,4,4,1,1943,2,1,77,3,2,3,4,2,5087,2900,3,0,0,12,3,3,80,2,14,4,3,0,0,0,0
1249,29,0,428,2,9,3,4,1,1752,2,0,52,1,1,6,2,0,2760,14630,1,0,1,13,3,3,80,0,2,3,3,2,2,2,2
591,33,0,118,2,16,3,4,1,819,1,0,69,3,2,3,1,0,5324,26507,5,0,1,15,3,3,80,0,6,3,3,3,2,0,2
1371,56,0,1443,2,11,5,4,1,1935,4,0,89,2,2,3,1,1,5380,20328,4,0,1,16,3,3,80,1,6,3,3,0,0,0,0
668,28,0,995,1,9,3,5,1,930,3,0,77,3,1,7,3,2,2377,9834,5,0,1,18,3,2,80,1,6,2,3,2,2,2,2
702,30,0,231,2,8,2,3,1,982,3,1,62,3,3,3,3,2,7264,9977,5,0,1,11,3,1,80,1,10,2,4,8,4,7,7
568,55,0,725,1,2,3,5,1,787,4,1,78,3,5,8,1,1,19859,21199,5,0,0,13,3,4,80,1,24,2,3,5,2,1,4
874,30,0,853,1,7,4,1,1,1224,3,1,49,3,2,2,3,2,3491,11309,1,0,1,13,3,1,80,3,10,4,2,10,7,8,9
